id,author,title,content,rating,updated,im:version
14237386843,WeezerPig11,awesome app IF PREMIUM,"so let me start of by saying that spotify premium is one of the best gifts ive ever gotten. im a huge music fan and musician who spends lots of time listening to albums, playlists, and more. spotify premium gives you access to everything when you want it and where you want it. but sadly the free version sucks, and they barely pay artists which is kinda destroying the music business. so spotify is good as a music fan but not as a musician which i am both so its a love hate relationship. but seriously i could not survive without spotify love the app overall. also KNICKS IN 5!!!!!!",4,2026-06-28T08:57:50-07:00,9.1.60
14237382001,سـجــو,؟,"When I want to log in to DJ, it doesn't accept, but it's nice",5,2026-06-28T08:56:28-07:00,9.1.60
14237356673,Rob Laub,Love this app,"A++, I love love my Spotify.",5,2026-06-28T08:49:02-07:00,9.1.60
14237355774,Nlandrum01,Tool Rocks,"I can use this app to
Listen to tool therefore this app rocks",5,2026-06-28T08:48:46-07:00,9.1.60
14237344506,hhnxfntshbugjed,broken,doesn’t work full service and wifi,1,2026-06-28T08:45:27-07:00,9.1.60
14237343933,Smiller258,It's good I like it,Very yes 👍🏻,5,2026-06-28T08:45:18-07:00,9.1.60
14237342486,Pepe12(3,Mala,Por qué no me permite colocar cualquier música que quiero llega a un punto que se me bloquea,1,2026-06-28T08:44:54-07:00,9.1.60
14237329933,Jose angel Vargas Ramirez,Heheheehehhehe,Hahaha,5,2026-06-28T08:41:15-07:00,9.1.60
14237329199,Nothingbeatsajet2holidayvomit,It was w,I got to listen to let it grow let it grow you dont teap what you dont sowww plant a seed inside the earth just one day to know its worth,5,2026-06-28T08:41:02-07:00,9.1.60
14237319843,Liyah Vo,It’s ok..,I have to listen to ads every song and 6 skips and I can’t even choose the song I want to listen to..,3,2026-06-28T08:38:26-07:00,9.1.60
14237319090,My life in a natshell,The best app u will ever own 💕,It makes my toes tingle I love it so much 🫰🫰🫰,5,2026-06-28T08:38:12-07:00,9.1.60
14237284382,XD pineapple,Love it,Great,5,2026-06-28T08:28:11-07:00,9.1.60
14237263890,isa gherman,Playerdjcat,Life .,5,2026-06-28T08:22:21-07:00,9.1.60
14237263830,Lyric Interface sucks,"Great, but…",Can we update the lyrics interface? Seems dated. That’s the only reason why I keep Apple Music around.,4,2026-06-28T08:22:20-07:00,9.1.60
14237246360,SKI0066,Very happy!,The only complaint I have is that the random # generator that Spotify uses gets stuck on the same group of songs.  You have to select something different on your playlist then come back  to the playlist you were originally listening to to get different songs.,4,2026-06-28T08:17:20-07:00,9.1.60
14237244066,galeoncali,Mi Música,Espectacular!!,5,2026-06-28T08:16:41-07:00,9.1.60
14237234735,bleach fan lover,A little silly,"Good song suggestions based off music taste, yes… but the free subscription is ridiculous… 6 skips per hour… add every 3 songs or so… an automatic shuffle to similar songs of the ones you’re listening to when you play songs outside of your playlist… it’s just a little dumb.",2,2026-06-28T08:14:01-07:00,9.1.60
14237225384,……………looser,Pezz dispenser,Pew,1,2026-06-28T08:11:20-07:00,9.1.60
14237222387,ARRUDA4811,Músicas,Aplicativo excelente,5,2026-06-28T08:10:29-07:00,9.1.60
14237213836,Coverstar bugs,Best time ever,So relaxing on my road trip,5,2026-06-28T08:07:59-07:00,9.1.60
14237175752,MoeAM6,To many Ads,"I get that it’s free the app/music selection is good but there’s way too many ads. Also maybe out in an auto lower volume during ads, music blaring is one thing but then the ad comes up and just sounds weird it doesn’t need to be screaming at you like music. I probably wouldn’t mind the ads as much if the volume was auto adjusted on them.",2,2026-06-28T07:57:12-07:00,9.1.60
14237174894,🇺🇸🇺🇸🇺🇸🇺🇸💀💀💀💀💪😂💕,I love this app,I love how when you go to another app it’s still playing,5,2026-06-28T07:56:57-07:00,9.1.60
14237174381,rfreddy89,Spotify,Really easy to find songs you like! 5 stars.,5,2026-06-28T07:56:48-07:00,9.1.60
14237163923,Ladycoleman64,Love Spotify,Spotify is Awesome!!!,5,2026-06-28T07:53:52-07:00,9.1.60
14237152315,Murphy’s law 09,Somehow,"It’s impossible to use the free version, it’s 2 minute ads, you can’t choose what song you want to listen to, you can’t even choose what album.",1,2026-06-28T07:50:34-07:00,9.1.60
14237146190,AvrPotater,I LOVE LOVE LOVE SPOTIFYYY,love spotify sm if you want good quality music get spotify!,5,2026-06-28T07:48:49-07:00,9.1.60
14237133812,Jenna 😂😊🌺,Too expensive,Too expensive,2,2026-06-28T07:45:15-07:00,9.1.60
14237128677,Braxton.H,Spotify is the best,I like this songs that I know that I love,5,2026-06-28T07:43:46-07:00,9.1.60
14237126803,Pharmtechboy20,Keep God first God Bless!,Keep God first God Bless!,5,2026-06-28T07:43:15-07:00,9.1.60
14237114972,Hd Bad He,Fermìn,Cuarenta,5,2026-06-28T07:39:55-07:00,9.1.60
14237093743,Richh73,Home Screen options,If I pay for the service I should be able to customize what content is displayed or remove content I don’t want displayed. I listened to one episode of a podcast and now I can’t get rid of it.,1,2026-06-28T07:33:58-07:00,9.1.60
14237071074,Jdjxjiekwoa,Great app,Great app but the adds and how you have to buy a subscription is annoying,5,2026-06-28T07:27:29-07:00,9.1.60
14237052092,5 $tars!,Spotifyyy,You can find everything you need to on here and it’s just amazing!!,5,2026-06-28T07:22:03-07:00,9.1.60
14237052029,cherub139,Shuffle,"I love Spotify, the one thing that needs work though is that shuffle ends up playing the same songs after a little bit instead of going through the whole list.",4,2026-06-28T07:22:02-07:00,9.1.60
14237051934,256 victor,Gooooooooooooood,Like it,2,2026-06-28T07:22:01-07:00,9.1.60
14237048552,JESpain14,The DJ app is on point!!,Really enjoying the variety and songs that DJ recommends on the Spotify app! The algorithm always puts together great mixes!!! Highly recommend 👊🏻💪🏻👍🏻👍🏻,5,2026-06-28T07:21:01-07:00,9.1.60
14237035286,BellNoelM,Ads,I love this app and happy with it but there is just to many ads. Yes there’s a subscription option but it costs money and I don’t have that kind of money but having 4 ads every 15-20 mins is a little annoying but that’s all I have to say still a great app!,4,2026-06-28T07:17:12-07:00,9.1.60
14237016835,twymango,Pay artists,"The fact that musicians don’t get paid for music is trash , delete",1,2026-06-28T07:11:56-07:00,9.1.60
14237014992,goofy mc nugget,best app ever,BEST APP OAT,5,2026-06-28T07:11:25-07:00,9.1.60
14237013317,Tillie😜,Ads,I hate them 🙄,5,2026-06-28T07:10:57-07:00,9.1.60
14237008533,AJUICE$$,Update shuffle,Need to update a better shuffle! Replays same songs over!,3,2026-06-28T07:09:35-07:00,9.1.60
14236995537,Girlypops234,Best music app,Definitely the best music app,5,2026-06-28T07:05:50-07:00,9.1.60
14236989944,SilentTae,Silent Tae,Juice WRLD 🪐,5,2026-06-28T07:04:11-07:00,9.1.60
14236987318,Yo mommas booty,Ads (I like femboys),"Too many ads, also only six skips and hour is crazy THEY KEEP ADDING MORE ADS, STOP also I clicked on Ayesha and it didnt play any of her songs for a whole hour",1,2026-06-28T07:03:27-07:00,9.1.60
14236905272,Heart it harder,Lori,"Want the app but it won’t let me in to much security
 in fo Spotify pls fix",2,2026-06-28T06:39:43-07:00,9.1.60
14236904571,Savannah88!,💖💖,BEST APP EVER!!!,5,2026-06-28T06:39:31-07:00,9.1.60
14236894811,PimpC23,Spotify is the 🐐,Best music streaming app,5,2026-06-28T06:36:36-07:00,9.1.60
14236864961,charrrrrrr😜,I LOVE SPOTIFY,I LOVE SPOTIFY WITH MY WHOLE LIFEEEEEEEEEEE U HAVE TO GET IT ITS AMAZINGG!🥰💕💘❤️,5,2026-06-28T06:27:46-07:00,9.1.60
14236847353,Rob S 513,Best of the best,No music streaming service competes,5,2026-06-28T06:22:33-07:00,9.1.60
14236817749,geewhiz67,Best of the best,Best music application in the world do not buy any other. They’re all nonsense. Take my word.,5,2026-06-28T06:13:35-07:00,9.1.60
14236795640,Starproxy,Smart shuffle is the worst,"Everything is good except smart shuffle. I’m a free user so it gives me a “taste of premium” by turning on smart shuffle with no way of me turning it off. I have my 9 hour playlist with songs I like, I don’t want to listen to songs AI thinks I want to listen to",4,2026-06-28T06:06:56-07:00,9.1.60
